date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:10	3670/3670	---M--	200	added ('OK')	image/png	etag:%220537a5f94c0d11:0%22	https://daily.gate.vn/Skin/images/icon4.png	E:/FPT/Template/Template/daily.gate.vn/Skin/images/icon4.png	(from https://daily.gate.vn/home/)
20:33:10	36192/36192	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Sep%202018%2013:33:09%20GMT	https://daily.gate.vn/chuyen-tien-sim-da-nang/nap-anypay/	E:/FPT/Template/Template/daily.gate.vn/chuyen-tien-sim-da-nang/nap-anypay/index.html	(from https://daily.gate.vn/home/)
20:33:10	5634/5634	---M--	200	added ('OK')	image/jpeg	etag:%220917c090c0d11:0%22	https://daily.gate.vn/Skin/images/logo-dt/dt_1.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/logo-dt/dt_1.jpg	(from https://daily.gate.vn/home/)
20:33:10	4368/4368	---M--	200	added ('OK')	image/jpeg	etag:%220aa99e290c0d11:0%22	https://daily.gate.vn/Skin/images/logo-dt/dt_2.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/logo-dt/dt_2.jpg	(from https://daily.gate.vn/home/)
20:33:10	20777/20777	---M--	200	added ('OK')	image/jpeg	etag:%22fce4319581e3d31:0%22	https://daily.gate.vn/Skin/images/logo-dt/dt_3.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/logo-dt/dt_3.jpg	(from https://daily.gate.vn/home/)
20:33:11	5392/5392	---M--	200	added ('OK')	image/jpeg	etag:%220c32b591c0d11:0%22	https://daily.gate.vn/Skin/images/logo-dt/dt_4.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/logo-dt/dt_4.jpg	(from https://daily.gate.vn/home/)
20:33:11	5647/5647	---M--	200	added ('OK')	image/jpeg	etag:%22066d1791c0d11:0%22	https://daily.gate.vn/Skin/images/logo-dt/dt_5.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/logo-dt/dt_5.jpg	(from https://daily.gate.vn/home/)
20:33:11	4814/4814	---M--	200	added ('OK')	image/jpeg	etag:%220fbc72191c0d11:0%22	https://daily.gate.vn/Skin/images/logo-dt/dt_6.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/logo-dt/dt_6.jpg	(from https://daily.gate.vn/home/)
20:33:12	3995/3995	---M--	200	added ('OK')	image/jpeg	etag:%22090822c91c0d11:0%22	https://daily.gate.vn/Skin/images/logo-dt/dt_7.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/logo-dt/dt_7.jpg	(from https://daily.gate.vn/home/)
20:33:12	3999/3999	---M--	200	added ('OK')	image/jpeg	etag:%220baf74191c0d11:0%22	https://daily.gate.vn/Skin/images/logo-dt/dt_8.jpg	E:/FPT/Template/Template/daily.gate.vn/Skin/images/logo-dt/dt_8.jpg	(from https://daily.gate.vn/home/)
